id,gestion,estudiante_id,unidad_educativa_id,curso_paralelo_origen,estado
244,2024,244,21,B,A
245,2024,245,21,A,A
246,2024,246,20,B,A
247,2024,247,20,B,A
248,2024,248,1,Z,A
249,2024,249,20,B,A
250,2024,250,20,A,A
251,2024,251,20,B,A
252,2024,252,20,B,A
253,2024,253,1,A,A
254,2024,254,10,A,A
255,2024,255,10,A,A
256,2024,256,10,A,A
257,2024,257,10,A,A
258,2024,258,19,A,A
259,2024,259,19,B,A
260,2024,260,19,C,A
261,2024,261,19,B,A
262,2024,262,19,B,A
263,2024,263,19,B,A
264,2024,264,20,B,A
265,2024,265,20,B,A
266,2024,266,20,A,A
267,2024,267,20,A,A
268,2024,268,6,A,A
269,2024,269,6,A,A
270,2024,270,6,A,A
271,2024,271,6,A,A
272,2024,272,6,A,A
273,2024,273,19,B,A
274,2024,274,6,A,A
275,2024,275,6,A,A
276,2024,276,6,C,A
277,2024,277,6,C,A
278,2024,278,6,C,A
279,2024,279,6,C,A
280,2024,280,6,C,A
281,2024,281,6,B,A
282,2024,282,6,B,A
283,2024,283,6,B,A
284,2024,284,6,B,A
285,2024,285,6,A,A
286,2024,286,19,A,A
287,2024,287,6,A,A
288,2024,288,6,A,A
289,2024,289,6,A,A
290,2024,290,6,A,A
291,2024,291,6,B,A
292,2024,292,6,A,A
293,2024,293,6,B,A
294,2024,294,6,C,A
295,2024,295,6,A,A
296,2024,296,29,A,A
297,2024,297,6,C,A
298,2024,298,6,A,A
299,2024,299,6,A,A
300,2024,300,29,A,A
301,2024,301,6,C,A
302,2024,302,6,B,A
303,2024,303,6,B,A
304,2024,304,10,A,A
305,2024,305,6,C,A
306,2024,306,10,A,A
307,2024,307,25,A,A
308,2024,308,6,A,A
309,2024,309,25,A,A
310,2024,310,6,A,A
311,2024,311,6,C,A
312,2024,312,6,C,A
313,2024,313,6,B,A
314,2024,314,6,B,A
315,2024,315,6,C,A
316,2024,316,6,C,A
317,2024,317,6,B,A
318,2024,318,13,C,A
319,2024,319,13,A,A
320,2024,320,13,B,A
321,2024,321,13,A,A
322,2024,322,13,A,A
323,2024,323,13,B,A
324,2024,324,13,A,A
326,2024,326,13,B,A
327,2024,327,13,B,A
328,2024,328,13,C,A
329,2024,329,13,A,A
330,2024,330,13,C,A
331,2024,331,13,B,A
332,2024,332,13,C,A
333,2024,333,13,B,A
334,2024,334,13,B,A
335,2024,335,13,C,A
336,2024,336,13,B,A
337,2024,337,13,B,A
338,2024,338,13,B,A
339,2024,339,13,B,A
340,2024,340,13,C,A
341,2024,341,13,C,A
342,2024,342,13,C,A
343,2024,343,21,B,A
344,2024,344,21,B,A
345,2024,345,21,A,A
346,2024,346,21,B,A
347,2024,347,21,A,A
348,2024,348,21,B,A
349,2024,349,21,A,A
350,2024,350,21,B,A
351,2024,351,20,A,A
352,2024,352,20,A,A
353,2024,353,19,B,A
354,2024,354,21,A,A
355,2024,355,21,A,A
356,2024,356,21,A,A
357,2024,357,19,A,A
358,2024,358,19,B,A
359,2024,359,19,B,A
360,2024,360,19,B,A
361,2024,361,19,B,A
362,2024,362,19,B,A
363,2024,363,19,B,A
364,2024,364,19,B,A
365,2024,365,6,B,A
366,2024,366,25,A,A
367,2024,367,10,A,A
368,2024,368,1,A,A
369,2024,369,19,A,A
370,2024,370,29,A,A
371,2024,371,17,A,A
372,2024,372,5,A,A
373,2024,373,1,B,A
374,2024,374,19,A,A
375,2024,375,19,B,A
376,2024,376,17,A,A
377,2024,377,20,B,A
378,2024,378,13,C,A
379,2024,379,20,A,A
380,2024,380,17,A,A
381,2024,381,29,A,A
382,2024,382,25,A,A
383,2024,383,25,A,A
384,2024,384,13,B,A
385,2024,385,1,B,A
386,2024,386,19,B,A
387,2024,387,10,A,A
388,2024,388,6,C,A
415,2024,415,19,B,A
416,2024,416,6,C,A
417,2024,417,6,B,A
418,2024,418,13,C,A
419,2024,419,13,A,A
420,2024,420,21,A,A
421,2024,421,25,A,A
422,2024,422,20,B,A
423,2024,423,20,A,A
424,2024,424,20,A,A
425,2024,425,20,B,A
426,2024,426,1,B,A
427,2024,427,1,A,A
428,2024,428,1,B,A
429,2024,429,1,A,A
430,2024,430,1,A,A
431,2024,431,1,B,A
432,2024,432,1,A,A
433,2024,433,1,A,A
434,2024,434,1,B,A
435,2024,435,19,B,A
436,2024,436,1,A,A
437,2024,437,19,B,A
438,2024,438,19,C,A
439,2024,439,19,B,A
440,2024,440,19,B,A
441,2024,441,19,B,A
442,2024,442,19,A,A
443,2024,443,19,A,A
444,2024,444,20,B,A
445,2024,445,19,B,A
446,2024,446,21,A,A
447,2024,447,21,A,A
448,2024,448,25,A,A
449,2024,449,25,A,A
450,2024,450,25,A,A
451,2024,451,25,A,A
452,2024,452,29,A,A
453,2024,453,29,A,A
454,2024,454,29,A,A
455,2024,455,29,A,A
456,2024,456,29,A,A
457,2024,457,1,A,A
458,2024,458,6,B,A
459,2024,459,6,B,A
460,2024,460,6,C,A
461,2024,461,13,A,A
462,2024,462,13,A,A
463,2024,463,13,C,A
464,2024,464,13,C,A
465,2024,465,13,A,A
466,2024,466,19,A,A
467,2024,467,19,A,A
468,2024,468,19,B,A
469,2024,469,19,B,A
470,2024,470,19,B,A
471,2024,471,19,A,A
472,2024,472,19,B,A
473,2024,473,13,C,A
474,2024,474,13,C,A
475,2024,475,13,A,A
476,2024,476,13,C,A
477,2024,477,13,C,A
478,2024,478,13,C,A
479,2024,479,13,B,A
480,2024,480,13,A,A
481,2024,481,13,C,A
482,2024,482,13,A,A
483,2024,483,13,B,A
484,2024,484,13,C,A
485,2024,485,13,B,A
486,2024,486,13,A,A
487,2024,487,13,A,A
488,2024,488,13,B,A
489,2024,489,21,A,A
490,2024,490,1,A,A
491,2024,491,1,A,A
492,2024,492,29,A,A
493,2024,493,1,A,A
494,2024,494,1,B,A
495,2024,495,21,B,A
496,2024,496,21,B,A
497,2024,497,21,A,A
498,2024,498,21,A,A
499,2024,499,21,B,A
500,2024,500,29,A,A
501,2024,501,29,A,A
502,2024,502,29,A,A
503,2024,503,29,A,A
504,2024,504,1,B,A
505,2024,505,1,B,A
506,2024,506,1,B,A
507,2024,507,1,A,A
508,2024,508,1,A,A
509,2024,509,21,A,A
510,2024,510,1,A,A
511,2024,511,20,A,A
512,2024,512,10,A,A
513,2024,513,10,A,A
515,2024,515,10,A,A
516,2024,516,10,A,A
517,2024,517,20,A,A
518,2024,518,10,A,A
519,2024,519,25,A,A
520,2024,520,25,A,A
521,2024,521,10,A,A
522,2024,522,20,A,A
523,2024,523,20,B,A
524,2024,524,20,B,A
525,2024,525,20,A,A
